All Domains,Second Batch,,Accuracy Batch,,No Rel Batch,
,Accuracy,Error,Accuracy,Error,Accuracy,Error
Logistic Regression,0.8203292978,0.000192797,0.7684711019,0.0001989326,0.7229389716,0.0002281141
Linear SVC,0.8215162228,0.0001934446,0.7695617464,0.0001944449,0.7232085536,0.000226509
SVC,0.8121389831,0.000201294,0.7632336798,0.0002068788,0.7191186929,0.0002234839
K-Nearest Neighbors,0.7984029056,0.0002061273,0.7405704782,0.0002132792,0.6931782797,0.0002514569
Decision Trees,0.7368484262,0.0002942975,0.6722266112,0.0002951685,0.6440490149,0.0003353421
Random Forest,0.7918837772,0.0002282864,0.7309808732,0.0002337756,0.686069678,0.0002745913



